file_year,file_name,file_link
1985,climrbsn1985.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/016d8f55-7997-4c52-b635-665e34394a92/download/climrbsn1985.csv
1984,climrbsn1984.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/9c86ee9c-0d0e-46d5-a32d-040ac2b4742b/download/climrbsn1984.csv
1983,climrbsn1983.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/fb6fe30c-f064-42ce-b46a-b356a61fd296/download/climrbsn1983.csv
1982,climrbsn1982.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/347fcb3b-ffdf-4fb5-b9bc-192e59fe4ec4/download/climrbsn1982.csv
1981,climrbsn1981.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/ae908db9-b4c1-433d-8030-afb26fae2e33/download/climrbsn1981.csv
1980,climrbsn1980.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/7b44a1d3-14e0-4e55-a96f-1cc47e283ee2/download/climrbsn1980.csv
1979,climrbsn1979.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/affbb28c-68db-4ba5-868d-511e6aeb2594/download/climrbsn1979.csv
1978,climrbsn1978.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/dbc871ec-0734-40a7-b11d-795681224b63/download/climrbsn1978.csv
1977,climrbsn1977.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/c6d2cbe3-152f-49fb-b339-8d387caca903/download/climrbsn1977.csv
1976,climrbsn1976.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/e81a466c-2ebe-4e11-9988-07d7fb639cbb/download/climrbsn1976.csv
1975,climrbsn1975.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/1aecf45f-3565-4632-8eed-b6fffd99922d/download/climrbsn1975.csv
1974,climrbsn1974.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/e9089ec3-9b6d-4c76-aef6-9222bb2b4126/download/climrbsn1974.csv
1973,climrbsn1973.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/1e147a27-6f8d-4491-bd31-c6152ed4dfa3/download/climrbsn1973.csv
1972,climrbsn1972.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/fcd76e28-96bb-49bd-82ed-87ea016a9bbd/download/climrbsn1972.csv
1971,climrbsn1971.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/1ce3e251-1341-4f58-a234-672daf5151a4/download/climrbsn1971.csv
1970,climrbsn1970.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/269c8760-d209-49e7-b1ab-471e5710570e/download/climrbsn1970.csv
1969,climrbsn1969.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/a56421be-b7cd-42be-9af8-89e0ce52be86/download/climrbsn1969.csv
1968,climrbsn1968.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/fa4b8cb7-f21e-4003-b298-7ebe1b114e15/download/climrbsn1968.csv
1967,climrbsn1967.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/f1dd9296-1dd0-4c7a-8d4b-dd8fb9e10c69/download/climrbsn1967.csv
1966,climrbsn1966.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/bae1f554-b047-4054-8dda-87839fb8c0fa/download/climrbsn1966.csv
1965,climrbsn1965.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/a0b89fbb-4d7a-4fde-a649-a6778190fa41/download/climrbsn1965.csv
1964,climrbsn1964.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/f80736a0-54b3-48d9-a20b-1c734031256b/download/climrbsn1964.csv
1963,climrbsn1963.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/a0f945c7-8b9d-46e2-a223-39af7c0488a5/download/climrbsn1963.csv
1962,climrbsn1962.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/037b1412-9a8e-4c93-a16b-da91015b34de/download/climrbsn1962.csv
1961,climrbsn1961.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/beb4b13f-f5ec-4eb2-b651-dda7832471d4/download/climrbsn1961.csv
